%MISS,GETS,NONREC,SLOW,REC,TIER2,TIER3,%UTIL,AVER_HTM,MON-NAME,PATTERN-NAME,PATTERN-NO
1,144691,144691,877,0,81820742,2493758,100,261650,java/lang/Object@00000007FFF68FD8,Over3,7
0,183101,183101,754,0,84803718,2572999,100,206633,java/lang/Object@00000007FFF69020,Over3,7
1,139431,139431,1116,0,83446184,2549325,100,271519,java/lang/Object@00000007FFE06DE8,Over3,7
0,161848,161848,803,0,81800764,2491307,100,233837,java/lang/Object@00000007FFF672B8,Over3,7
0,142409,142409,596,0,78430995,2388681,100,265938,java/lang/Object@00000007FFF67360,Over3,7
1,152154,152154,920,0,82367161,2509305,100,248762,java/lang/Object@00000007FFF69228,Over3,7
1,181389,181389,959,0,86305651,2616382,100,208519,java/lang/Object@00000007FFF69020,Over3,7
0,169208,169208,723,0,82263299,2498016,100,223628,java/lang/Object@00000007FFF69110,Over3,7
0,162187,162187,772,0,82220643,2500590,100,233448,java/lang/Object@00000007FFF67808,Over3,7
0,156359,156359,554,0,78705249,2399444,100,242219,java/lang/Object@00000007FFF691F0,Over3,7
1,149482,149482,964,0,81723906,2488581,100,253085,java/lang/Object@00000007FFF678E0,Over3,7
1,149437,149437,862,0,81165300,2475136,100,253375,java/lang/Object@00000007FFF69360,Over3,7
0,136904,136904,609,0,78419228,2392011,100,276682,java/lang/Object@00000007FFF68FD8,Over3,7
0,137240,137240,665,0,78972892,2413366,100,275949,java/lang/Object@00000007FFF68FB0,Over3,7
1,153862,153862,945,0,82353738,2505003,100,246023,java/lang/Object@00000007FFF68FD8,Over3,7
0,167006,167006,666,0,81843887,2490462,100,226529,java/lang/Object@00000007FFF69088,Over3,7
0,169210,169210,792,0,84496928,2568272,100,223595,java/lang/Object@00000007FFF69128,Over3,7
0,158335,158335,519,0,79988674,2436352,100,239135,java/lang/Object@00000007FFF68FA8,Over3,7
1,162087,162087,959,0,84553209,2572726,100,233540,java/lang/Object@00000007FFE074A0,Over3,7
1,157746,157746,1053,0,84581715,2576801,100,239937,java/lang/Object@00000007FFE0A590,Over3,7
0,165292,165292,436,0,79224192,2405767,100,229118,java/lang/Object@00000007FFF69070,Over3,7
1,140515,140515,837,0,79198944,2414852,100,269506,java/lang/Object@00000007FFE04460,Over3,7
1,164399,164399,854,0,84703623,2574027,100,230214,java/lang/Object@00000007FFF68FF8,Over3,7
0,169164,169164,798,0,84685548,2572949,100,223730,java/lang/Object@00000007FFF691B0,Over3,7
0,152321,152321,620,0,80368708,2446708,100,248512,java/lang/Object@00000007FFF69008,Over3,7
0,174533,174533,692,0,82149444,2492834,100,216798,java/lang/Object@00000007FFF69098,Over3,7
0,180911,180911,615,0,81871213,2488165,100,209243,java/lang/Object@00000007FFF68FA8,Over3,7
0,166931,166931,760,0,83274474,2532879,100,226723,java/lang/Object@00000007FFE0A740,Over3,7
0,174616,174616,483,0,78071874,2374820,100,216754,java/lang/Object@00000007FFF69358,Over3,7
1,147159,147159,924,0,82091537,2504313,100,257216,java/lang/Object@00000007FFF69090,Over3,7
1,150429,150429,1112,0,83538277,2548520,100,251653,java/lang/Object@00000007FFF69360,Over3,7
0,167369,167369,525,0,80230840,2443841,100,226134,java/lang/Object@00000007FFF68FD0,Over3,7
0,178656,178656,838,0,85545217,2593565,100,211753,java/lang/Object@00000007FFE0A590,Over3,7
1,179223,179223,905,0,85528547,2596728,100,211122,java/lang/Object@00000007FFF67358,Over3,7
1,139672,139672,793,0,80244945,2451586,100,271153,java/lang/Object@00000007FFF69298,Over3,7
1,140051,140051,859,0,80660777,2460738,100,270347,java/lang/Object@00000007FFE04330,Over3,7
0,179700,179700,682,0,82427402,2503472,100,210586,java/lang/Object@00000007FFF69110,Over3,7
0,159341,159341,652,0,82344766,2512804,100,237630,java/lang/Object@00000007FFF69358,Over3,7
0,181917,181917,761,0,81869887,2479001,100,208009,java/lang/Object@00000007FFF69150,Over3,7
1,137612,137612,779,0,80334615,2452609,100,275140,java/lang/Object@00000007FFF69210,Over3,7
1,144335,144335,795,0,80759157,2458891,100,262284,java/lang/Object@00000007FFF672C0,Over3,7
0,159453,159453,794,0,83901623,2553800,100,237376,java/lang/Object@00000007FFF69110,Over3,7
1,154484,154484,876,0,81362871,2473046,100,245072,java/lang/Object@00000007FFF69090,Over3,7
0,144750,144750,602,0,79187488,2412123,100,261610,java/lang/Object@00000007FFF690A0,Over3,7
0,157379,157379,470,0,78278165,2381456,100,240631,java/lang/Object@00000007FFF69118,Over3,7
0,172111,172111,642,0,82818086,2516644,100,219949,java/lang/Object@00000007FFF69100,Over3,7
1,139311,139311,845,0,80674213,2466068,100,271771,java/lang/Object@00000007FFF67308,Over3,7
0,171675,171675,829,0,83752462,2543808,100,220429,java/lang/Object@00000007FFF67290,Over3,7
0,171925,171925,737,0,83454207,2535986,100,220203,java/lang/Object@00000007FFF69100,Over3,7
0,174438,174438,726,0,83709377,2542484,100,216927,java/lang/Object@00000007FFF69048,Over3,7
0,149118,149118,683,0,80664268,2460844,100,253768,java/lang/Object@00000007FFF691E0,Over3,7
1,178005,178005,978,0,84116259,2546861,99,212332,java/lang/Object@00000007FFF691A0,Over3,7
0,175834,175834,872,0,86182530,2615666,99,214935,java/lang/Object@00000007FFF69358,Over3,7
0,159346,159346,753,0,82942738,2531080,100,237594,java/lang/Object@00000007FFF69020,Over3,7
0,169774,169774,674,0,80884722,2462144,100,222954,java/lang/Object@00000007FFF691B0,Over3,7
1,142035,142035,713,0,80271266,2445266,100,266566,java/lang/Object@00000007FFF67310,Over3,7
