%MISS,GETS,NONREC,SLOW,REC,TIER2,TIER3,%UTIL,AVER_HTM,MON-NAME,PATTERN-NAME,PATTERN-NO
4,72929,72929,3202,0,72398126,2224471,99,515768,java/lang/Object@000000060A261628,Hot2,2
3,70017,70017,2337,0,58160014,1781728,99,538559,java/lang/Object@000000060A25B590,Hot2,2
5,62657,62657,3327,0,69887368,2150767,99,601404,java/lang/Object@000000060A261438,Hot2,2
4,69939,69939,2520,0,61859859,1897380,99,538830,java/lang/Object@000000060A25E350,Hot2,2
5,71052,71052,3379,0,70805899,2175412,99,530206,java/lang/Object@000000060A25B438,Hot2,2
5,68258,68258,3386,0,71771927,2206786,99,551574,java/lang/Object@000000060A25B720,Hot2,2
4,76451,76451,2697,0,68354757,2096686,99,493014,java/lang/Object@000000060A25B698,Hot2,2
5,72488,72488,3440,0,73087894,2246173,99,518041,java/lang/Object@000000060A261BF8,Hot2,2
5,69786,69786,3404,0,72428061,2227018,99,539860,java/lang/Object@000000060A261570,Hot2,2
3,78158,78158,2111,0,63585234,1946947,99,482551,java/lang/Object@000000060A261698,Hot2,2
4,63608,63608,2566,0,60101680,1844772,99,593705,java/lang/Object@000000060A25B8F8,Hot2,2
4,68700,68700,2851,0,66302349,2035985,99,548496,java/lang/Object@000000060A25B4C0,Hot2,2
3,72554,72554,2145,0,58774761,1799457,99,519091,java/lang/Object@000000060A25B3E0,Hot2,2
3,76822,76822,2352,0,64845316,1986760,99,489540,java/lang/Object@000000060A261628,Hot2,2
4,63406,63406,2558,0,57232291,1754960,99,595451,java/lang/Object@000000060A25BD20,Hot2,2
5,60677,60677,3250,0,66229759,2037682,99,620022,java/lang/Object@000000060A25E518,Hot2,2
5,67943,67943,3249,0,71153576,2187665,99,554410,java/lang/Object@000000060A25B1D8,Hot2,2
4,67615,67615,2510,0,63343589,1944079,99,556843,java/lang/Object@000000060A261568,Hot2,2
4,67093,67093,2488,0,61080533,1873730,99,561282,java/lang/Object@000000060A25B860,Hot2,2
4,64627,64627,2479,0,60619570,1861095,99,583165,java/lang/Object@000000060A25B7B8,Hot2,2
5,59103,59103,3204,0,57825776,1775793,99,636432,java/lang/Object@000000060A25B9B8,Hot2,2
5,64742,64742,3357,0,65388027,2009356,99,582686,java/lang/Object@000000060A25B600,Hot2,2
4,74414,74414,2792,0,67849565,2082469,99,505763,java/lang/Object@000000060A25B5C8,Hot2,2
3,79475,79475,2371,0,68703891,2106285,99,474665,java/lang/Object@000000060A25BE18,Hot2,2
4,73821,73821,2716,0,64920279,1991076,99,510866,java/lang/Object@000000060A25E490,Hot2,2
5,61793,61793,3274,0,65922504,2027587,99,609079,java/lang/Object@000000060A25DF38,Hot2,2
3,78055,78055,2607,0,69586840,2133964,99,483007,java/lang/Object@000000060A25E220,Hot2,2
4,77466,77466,2874,0,74977524,2303208,99,486131,java/lang/Object@000000060A25B860,Hot2,2
4,61655,61655,2445,0,58448479,1794401,99,611787,java/lang/Object@000000060A261980,Hot2,2
4,64680,64680,2416,0,62525651,1920584,99,583588,java/lang/Object@000000060A25E4E0,Hot2,2
