%MISS,GETS,NONREC,SLOW,REC,TIER2,TIER3,%UTIL,AVER_HTM,MON-NAME
0,154387,154387,83,0,70312426,2122776,100,245107,java/lang/Boolean@000000060A25E778
0,126713,126713,57,0,70064253,2129018,100,298985,java/lang/Boolean@000000060A258958
0,140876,140876,112,0,70204071,2124912,100,268609,java/lang/Boolean@000000060A25BCE8
0,138617,138617,112,0,70757401,2145985,100,272921,java/lang/Boolean@000000060A25B878
0,119253,119253,66,0,70893245,2155300,100,317631,java/lang/Boolean@000000060A258558
0,148689,148689,83,0,70787749,2140280,100,254550,java/lang/Boolean@000000060A25B720
0,137021,137021,69,0,70682649,2142586,100,276250,java/lang/Boolean@000000060A2615F0
0,133913,133913,68,0,70682135,2143690,100,282753,java/lang/Boolean@000000060A25BBF0
0,121406,121406,76,0,69857551,2124408,100,311868,java/lang/Boolean@000000060A25E480
0,129695,129695,67,0,70565680,2142866,100,291967,java/lang/Boolean@000000060A25B860
0,119167,119167,68,0,70618411,2147203,100,317770,java/lang/Boolean@000000060A25BD80
0,145307,145307,99,0,71440484,2164112,100,260533,java/lang/Boolean@000000060A258558
0,140104,140104,105,0,70905175,2148844,100,270203,java/lang/Boolean@000000060A2589E0
0,138492,138492,96,0,71249325,2160781,100,273447,java/lang/Boolean@000000060A258A28
0,148424,148424,113,0,71093219,2152180,100,255011,java/lang/Boolean@000000060A25BA18
0,153373,153373,93,0,69794015,2108304,100,246660,java/lang/Boolean@000000060A25E338
0,140961,140961,91,0,71611461,2168395,100,268459,java/lang/Boolean@000000060A258990
0,137382,137382,80,0,70954370,2150967,100,275784,java/lang/Boolean@000000060A25BA18
0,120612,120612,55,0,70807193,2155475,100,313969,java/lang/Boolean@000000060A2587D8
0,127125,127125,79,0,70658743,2147534,100,297942,java/lang/Boolean@000000060A261438
0,135978,135978,75,0,70748474,2146045,100,278408,java/lang/Boolean@000000060A258990
0,128598,128598,98,0,69411673,2107144,100,294536,java/lang/Boolean@000000060A2613A0
0,138819,138819,100,0,70767095,2146504,100,272593,java/lang/Boolean@000000060A25BD10
0,131835,131835,63,0,69538810,2110404,100,287366,java/lang/Boolean@000000060A25BDA8
0,129396,129396,113,0,70095772,2127690,100,292500,java/lang/Boolean@000000060A258980
0,145709,145709,96,0,68333809,2067121,100,259523,java/lang/Boolean@000000060A258558
0,147200,147200,134,0,72002697,2179933,100,257203,java/lang/Boolean@000000060A25BD80
0,122583,122583,52,0,69991904,2128713,100,309027,java/lang/Boolean@000000060A25BD20
0,155576,155576,118,0,70841994,2140593,100,243252,java/lang/Boolean@000000060A25E540
0,125575,125575,83,0,71226429,2162989,100,301736,java/lang/Boolean@000000060A25BB80
0,118438,118438,108,0,71055513,2161941,100,319929,java/lang/Boolean@000000060A25B330
0,128236,128236,54,0,70648864,2148842,100,295417,java/lang/Boolean@000000060A25BB48
0,120484,120484,56,0,70632950,2150642,100,314233,java/lang/Boolean@000000060A25B7E0
